2025-06-29 05:21:49.968 | INFO     | __main__:<module>:169 - Training time taken = 232.91 seconds, Evaluation time taken = nan seconds, loss = 0.03476, fid = None
2025-06-29 05:21:49.969 | INFO     | __main__:<module>:126 - Epoch = 55 / 60
2025-06-29 05:25:42.899 | INFO     | __main__:<module>:169 - Training time taken = 232.93 seconds, Evaluation time taken = nan seconds, loss = 0.03464, fid = None
2025-06-29 05:25:42.899 | INFO     | __main__:<module>:126 - Epoch = 56 / 60
2025-06-29 05:29:35.835 | INFO     | __main__:<module>:169 - Training time taken = 232.94 seconds, Evaluation time taken = nan seconds, loss = 0.0342, fid = None
2025-06-29 05:29:35.835 | INFO     | __main__:<module>:126 - Epoch = 57 / 60
2025-06-29 05:33:28.892 | INFO     | __main__:<module>:169 - Training time taken = 233.06 seconds, Evaluation time taken = nan seconds, loss = 0.03423, fid = None
2025-06-29 05:33:28.892 | INFO     | __main__:<module>:126 - Epoch = 58 / 60
2025-06-29 05:37:22.417 | INFO     | __main__:<module>:169 - Training time taken = 233.53 seconds, Evaluation time taken = nan seconds, loss = 0.03331, fid = None
2025-06-29 05:37:22.418 | INFO     | __main__:<module>:126 - Epoch = 59 / 60
2025-06-29 05:41:15.453 | INFO     | __main__:<module>:169 - Training time taken = 233.03 seconds, Evaluation time taken = nan seconds, loss = 0.0338, fid = None
2025-06-29 05:41:15.453 | INFO     | __main__:<module>:126 - Epoch = 60 / 60
2025-06-29 05:45:09.018 | INFO     | __main__:<module>:142 - Running evaluation
2025-06-29 05:45:09.019 | INFO     | eval_utils:eval:161 - Generating samples and computing activations
2025-06-29 19:36:03.328 | INFO     | eval_utils:eval:163 - Computing statistics on generated sample activations
2025-06-29 19:36:04.608 | INFO     | eval_utils:eval:166 - real activation mean = (2048,), cov = (2048, 2048)
2025-06-29 19:36:04.608 | INFO     | eval_utils:eval:167 - fake activation mean = (2048,), cov = (2048, 2048)
2025-06-29 19:37:46.594 | INFO     | __main__:<module>:153 - Generating 100 samples
2025-06-29 19:39:36.417 | INFO     | __main__:<module>:164 - Generation completed in 109.82 seconds
2025-06-29 19:39:36.417 | INFO     | __main__:<module>:169 - Training time taken = 233.57 seconds, Evaluation time taken = 49957.58 seconds, loss = 0.03362, fid = 7.612004377770319
